"io.confluent/kafka-schema-serializer","7.1.0","Apache License 2.0"
"org.nrepl/incomplete","0.1.0","EPL-2.0 OR GPL-2.0-or-later WITH Classpath-exception-2.0"
"io.aleph/dirigiste","0.1.5","MIT License"
"com.github.luben/zstd-jni","1.5.0-4","BSD 2-Clause License"
"org.slf4j/slf4j-api","1.7.32","MIT License"
"com.fasterxml.jackson.core/jackson-annotations","2.12.5","The Apache Software License, Version 2.0"
"org.apache.kafka/kafka-clients","7.1.0-ccs","The Apache License, Version 2.0"
"com.google.guava/listenablefuture","9999.0-empty-to-avoid-conflict-with-guava","The Apache Software License, Version 2.0"
"io.confluent/kafka-schema-registry-client","7.1.0","Apache License 2.0"
"org.lz4/lz4-java","1.8.0","The Apache Software License, Version 2.0"
"com.google.j2objc/j2objc-annotations","1.3","The Apache Software License, Version 2.0"
"org.clojure/spec.alpha","0.3.218","Eclipse Public License 1.0"
"camel-snake-kebab","0.4.2","Eclipse Public License"
"com.google.guava/guava","30.1.1-jre","Apache License, Version 2.0"
"primitive-math","0.1.6","MIT License"
"org.xerial.snappy/snappy-java","1.1.8.4","Apache-2.0"
"org.checkerframework/checker-qual","3.8.0","The MIT License"
"org.clojure/core.specs.alpha","0.2.62","Eclipse Public License 1.0"
"nrepl","0.8.3","Eclipse Public License"
"clj-tuple","0.2.2","MIT License"
"com.google.code.findbugs/jsr305","3.0.2","The Apache Software License, Version 2.0"
"org.clojure/tools.logging","0.3.1","Eclipse Public License 1.0"
"com.google.errorprone/error_prone_annotations","2.5.1","Apache 2.0"
"potemkin","0.4.5","MIT License"
"com.github.piotr-yuxuan/slava-record","0.0.1","European Union Public License 1.2 or later"
"byte-streams","0.2.5-alpha2","MIT License"
"io.swagger.core.v3/swagger-annotations","2.1.10","Apache License 2.0"
"com.fasterxml.jackson.core/jackson-databind","2.12.5","The Apache Software License, Version 2.0"
"riddley","0.1.12","MIT License"
"manifold","0.1.8","MIT License"
"com.google.guava/failureaccess","1.0.1","The Apache Software License, Version 2.0"
"org.apache.avro/avro","1.11.0","Apache License, Version 2.0"
"io.confluent/common-utils","7.1.0","unknown"
"org.apache.commons/commons-compress","1.21","Apache License, Version 2.0"
"org.clojure/clojure","1.11.1","Eclipse Public License 1.0"
"com.fasterxml.jackson.core/jackson-core","2.12.5","The Apache Software License, Version 2.0"
"io.confluent/kafka-avro-serializer","7.1.0","Apache License 2.0"
