"io.confluent/kafka-schema-registry-client","6.1.1","Apache License 2.0"
"io.aleph/dirigiste","0.1.5","MIT License"
"com.sun.activation/jakarta.activation","1.2.2","EDL 1.0"
"io.confluent/kafka-avro-serializer","6.1.1","Apache License 2.0"
"org.slf4j/slf4j-api","1.7.30","MIT License"
"com.fasterxml.jackson.core/jackson-databind","2.12.2","The Apache Software License, Version 2.0"
"jakarta.annotation/jakarta.annotation-api","1.3.5","EPL 2.0"
"com.github.luben/zstd-jni","1.4.5-6","BSD 2-Clause License"
"org.apache.avro/avro","1.10.2","Apache License, Version 2.0"
"org.glassfish.hk2/osgi-resource-locator","1.0.3","EPL 2.0"
"jakarta.ws.rs/jakarta.ws.rs-api","2.1.6","EPL 2.0"
"camel-snake-kebab","0.4.2","Eclipse Public License"
"primitive-math","0.1.6","MIT License"
"org.clojure/clojure","1.10.3","Eclipse Public License 1.0"
"com.fasterxml.jackson.core/jackson-annotations","2.12.2","The Apache Software License, Version 2.0"
"io.confluent/kafka-schema-serializer","6.1.1","Apache License 2.0"
"clj-tuple","0.2.2","MIT License"
"org.apache.kafka/kafka-clients","6.1.1-ccs","The Apache Software License, Version 2.0"
"org.clojure/spec.alpha","0.2.194","Eclipse Public License 1.0"
"riddley","0.1.14","MIT License"
"io.swagger/swagger-annotations","1.6.2","Apache License 2.0"
"org.clojure/tools.logging","0.3.1","Eclipse Public License 1.0"
"org.clojure/core.specs.alpha","0.2.56","Eclipse Public License 1.0"
"byte-streams","0.2.5-alpha2","MIT License"
"org.glassfish.hk2.external/jakarta.inject","2.6.1","EPL 2.0"
"manifold","0.1.8","MIT License"
"io.confluent/common-utils","6.1.1","unknown"
"org.glassfish.jersey.core/jersey-common","2.31","EPL 2.0"
"org.lz4/lz4-java","1.7.1","The Apache Software License, Version 2.0"
"com.fasterxml.jackson.core/jackson-core","2.12.2","The Apache Software License, Version 2.0"
"org.xerial.snappy/snappy-java","1.1.7.7","Apache-2.0"
"org.apache.commons/commons-compress","1.20","Apache License, Version 2.0"
